siteCode;plotCode;coordinateX;coordinateY;
SOB;L1;507926,859;4429103,765;
SOB;L47f;508873,941;4429895,326;
SOB;L03f;508406,284;4428214,501;
SOB;L8;507869,231;4427513,068;
SOB;L89f;508096,718;4426395,819;
SOB;L9;507604,295;4426718,268;
SOB;L2;508409,230;4429017,950;
SOB;L59f;506983,133;4426327,976;
SOB;L27f;508744,703;4427706,654;
SOB;L4;508503,497;4428585,190;
SOB;L63f;507966,525;4428216,726;
SOB;L52f;507911,483;4427214,938;
SOB;L97f;509001,310;4428596,480;
SOB;L10;508321,418;4427233,563;
SOB;L51f;507493,721;4425791,525;
SOB;L92f;509328,312;4429389,230;
SOB;L6;508487,921;4427849,715;
SOB;LC;508104,507;4429629,932;
SOB;L7;507689,877;4427583,;
SOB;L3;509109,129;4429174,555;
SD;L14;725345,788;4096470,180;
SD;L12;725946,429;4096614,252;
SD;L30;720123,456;4097391,318;
SD;L5;721896,271;4096250,447;
SD;L9;726164,130;4096353,199;
SD;L16;724482,827;4095982,047;
SD;L6;721245,204;4096662,287;
SD;L7;721686,246;4096898,978;
SD;L26;721458,579;4097620,316;
SD;L10;722865,201;4097290,893;
SD;L8;721181,109;4096994,179;
SD;L29;721226,929;4098093,167;
SD;L4;722816,321;4096279,364;
SD;L27;720741,143;4097210,834;
SD;L11;723504,616;4096706,720;
SD;L1;725728,155;4096198,011;
SD;L28;720812,768;4097560,562;
SD;L2;725052,258;4096079,359;
SD;L3;723879,069;4095845,150;
SD;L17;724165,933;4096435,894;
SD;L15;724953,917;4095733,640;
SD;L13;725297,281;4095652,817;
SD;L23;722170,353;4095984,820;
SD;L21;723149,239;4096593,108;
SD;L18;723610,133;4096166,854;
SD;L24;722435,103;4096803,056;
SD;L25;722175,666;4097330,552;
SD;L22;722800,109;4095932,859;
SD;L20;723348,976;4095868,089;
SD;L19;723269,377;4095515,741;

