genus;species;type;code;functionalGroup
Acacia;longifolia;Tree;A;water spender
Acacia;melanocylon;Tree;Ac;water spender
Asparagus;acutifolius;Shrub ;As;N.D.
Calluna;vulgaris;Shrub ;Cl;
Cistus;libanotis;Shrub;Hb;
Cistus;salviifolius;Shrub;Cs;
Corema;album;Shrub;C;
Cytisus;?;Shrub;Y;
Daphne;gnidium;Shrub;Dg;
Erica;scoparia;Shrub;E;
Halimium;calycinum;Shrub;Hc;
Halimium;halimifolium;Shrub;Hh;
Helycrisum;italicum;Shrub;He;
Juniperus;phoenicea;TRee;J;
Lavandula;pedunculata;Shrub;Lp;
Lavandula;stoechas;Shrub;L;
Myrica;faya;Tree;M;
Myrtus;communis;Shrub/Tree;My;
Phillyrea;angustifolia;Shrub/Tree;Ph;
Pinus;pinaster;Tree;P;
Pinus;pinea;Tree;Pp;
Pistacia;lentiscus;Shrub/Tree;Pl;
Quercus;suber;Tree;Qs;
Quercus;ilex;Tree;Qi;
Rosmarinus;officinalis;Shrub;R;
Rubus;ulmifolius;Shrub;Rb;
Salix;atrocinerea;Tree;Sa;phreatophyte
Salix;repens;Shrub;S;phreatophyte
Stauracanthus;genistoides;Shrub;St;
Tamarix;canariensis;Tree;Tx;saline
Thymus;albicans;Shrub;Th;
Ulex;australis;Shrub;Ul;
Ulex;minor;Shrub;Um;
Alchornea;triplinervia;Tree;At;
Andira;fraxinifolia;Tree;Af;
Byrsonima;ligustrifolia;Tree;Bl;
Calyptranthes;concinna ;Tree;Cc;
Couepia;venosa;Tree;Cv;
Endlicheria;paniculata;Tree;Ep;
Eugenia;schuechiana;Tree;Es;
Eugenia;umbelliflora;Tree;Eu;
Euterpe;edulis;Tree;Ed;
Faramea;pachyantha;Tree;Fp;
Garcinia;gardneriana;Tree;Gg;
Guapira;opposita;Tree;Go;
Guarea;macrophylla subsp. tuberculata;Tree;Gct;
Guatteria;sp. 4;Tree;Gs;
Jacaranda;puberula;Tree;Jp;
Kielmeyera;petiolaris;Tree;Kp;
Lacistema;pubescens;Tree;Lpb;
Margaritaria;nobilis;Tree;Mn;
Marlierea;tomentosa;Tree;Mt;
Maytenus;littoralis;Tree;Ml;
Myrcia;brasiliensis;Tree;Mb;
Myrcia;multiflora;Tree;Mm;
Myrcia;racemosa;Tree;Mr;
Myrcia;splendens;Tree;Ms;
Nectandra;oppositifolia;Tree;No;
Ormosia;arborea;Tree;Ao;
Pera;glabrata;Tree;Pg;
Rapanea;ferruginea;Tree;Rf;
Sloanea;guianensis;Tree;Sg;
Tapirira;guianensis;Tree;Tg;
Psycothria;sp1;shrub;Pst1;
Psycothria;sp2;shrub;Pst2;
Nervura;tripla;shrub;Nt1;
